"regno","subno","name","orgtype","gd","aob","aob_defined","nhs","ha_no","corr","add1","add2","add3","add4","add5","phone","fax","EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline"
"206002","0","COMBAT STRESS","R","MEMORANDUM  AND ARTICLES INCORPORATED 11 MAY 1931&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 14 NOV 1991&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21 SEP 2006&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 20 SEP 2007&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 17 JUL 2008&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 08 DEC 2016;","NATIONAL","","F","","MR Jeffrey Harrison","Combat Stress                      ","Tyrwhitt House                     ","Oaklawn Road                       ","LEATHERHEAD                        ","","01372587100                        ","","COMBAT STRESS","Tyrwhitt House,
Oaklawn Road,
Leatherhead,
Surrey,
United Kingdom,
KT22 0BX","00256353","86220",-1.7,-0.3,0,0,0,0,26,74,15,85,24,76,39,61,"","Jeff Harrison (Director Resources)","250 to 499","Combat Stress","False"
"207994","0","MARIE CURIE","R","MEMORANDUM  AND ARTICLES INCORPORATED 03/05/1952&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21/11/1989&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 14/12/1993&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/10/1995&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 03/09/2002&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 06/09/2004&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 05/09/2006&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 04/09/2007&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 15/09/2009&#x0D;
AS REGISTERED AT COMPANIES HOUSE ON 07/10/2009&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 13/09/2011&#x0D;
AS AMENDED BY SPECIAL RESOLUTION REGISTERED AT COMPANIES HOUSE ON 14/11/2014;","NATIONAL","","F","","Mrs Penny Laurence-Parr","89 ALBERT EMBANKMENT","LONDON","","","","020 7599 7121","","MARIE CURIE","89 Albert Embankment,
London,
United Kingdom,
SE1 7TP","00507597","63990,
86102,
86900",12.4,7.2,0,0,0.6,0.6,11.6,88.4,9.2,90.8,12.3,87.7,16.4,83.6,"https://www.mariecurie.org.uk/who/plans-reports-policies/diversity-inclusion/gender-pay-gap","Brian O'Donoghue (Head of Human Resources)","1000 to 4999","Marie Curie","False"
"211015","0","STROKE ASSOCIATION","R","MEMORANDUM  AND ARTICLES INCORPORATED 25/03/1899&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 14/04/1976&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/03/1994&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 31/03/2000&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 17/10/2001&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 11/10/2005&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 16/10/2007&#x0D;
NOW ARTICLES ADOPTED BY SPECIAL RESOLUTION DATED 12/07/2011&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 11/05/2012;","NOT DEFINED","","F","","STROKE ASSOCIATION","Stroke Association","Stroke House","240 City Road","London","","0207 566 0300","","STROKE ASSOCIATION","Stroke Association House,
240 City Road,
London,
United Kingdom,
EC1V 2PR","00061274","86900",17.3,13.2,0,0,0,0,8.4,91.6,10,90,17.8,82.2,29.8,70.2,"https://www.stroke.org.uk/about-us/accountability/how-are-we-performing","Christopher Rennison (Executive Director, People and Organisational Development)","500 to 999","Stroke Association","False"
"207477","0","ROYAL BALLET BENEVOLENT FUND                                                                                                                          ","R","SCHEME DATED 01/01/2016&#x0D;
AS AMENDED BY RESOLUTION DATED 01/01/2016&#x0D;
AS AMENDED ON 08 DEC 2015;","NOT DEFINED.","","F","","MS CLEMENTINE COWL","ROYAL OPERA HOUSE","COVENT GARDEN","LONDON","","","01273 234011           ","","ROYAL OPERA HOUSE COVENT GARDEN FOUNDATION","Royal Opera House,
Covent Garden,
London,
United Kingdom,
WC2E 9DD","00480523","90030,
90040",14.8,13.4,9.1,20,30,18,48,52,38,62,59,41,58,42,"http://www.roh.org.uk/about/royal-opera-house/corporate-policies","Jane Crowther (Director of HR)","1000 to 4999","Royal Opera House Covent Garden Foundation","False"
"220239","0","NATIONAL STAR FOUNDATION","R","MEMORANDUM  AND ARTICLES INCORPORATED 20/08/1953&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 15/10/1964&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 02/12/1966&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 09/07/1970&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 26/11/1993&#x0D;
NOW ARTICLES ADOPTED BY SPECIAL RESOLUTION DATED 09/01/2012&#x0D;
AND REGISTERED AT COMPANIES HOUSE ON 14/03/2012&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 14/03/2012;","NOT DEFINED","","F","","MR KIM WHITE","ULLENWOOD                          ","CHELTENHAM                         ","","","","01242 534903                       ","","NATIONAL STAR FOUNDATION","Ullenwood Manor,
Cheltenham,
United Kingdom,
GL53 9QU","00522846","85410,
85590,
87900",8.1,0,0,0,0,0,25.4,74.6,21.6,78.4,21.6,78.4,29.6,70.4,"https://www.nationalstar.org/us/approach/equality-diversity/gender-pay-gap-report-national-star/","David Ellis (CEO)","500 to 999","National Star Foundation","False"
"224392","0","BLUE CROSS","R","MEMORANDUM  AND ARTICLES INCORPORATED 11/09/1940&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 28/10/1955&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 18/07/1996&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 28/11/2008&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 11/06/2012&#x0D;
AS AMENDED BY SPECIAL RESOLUTION REGISTERED AT COMPANIES HOUSE ON 20/11/2012;","NOT DEFINED","","F","","MRS Adele Fuller","Blue Cross                         ","Shilton Road                       ","Burford                            ","Oxfordshire                        ","","0300 7771897                       ","","BLUE CROSS","Shilton Road,
Burford,
Oxfordshire,
United Kingdom,
OX18 4PF","00363197","47190,
75000,
96090",25.5,23,0,0,0,0,3.4,96.6,16,84,7.9,92.1,26.6,73.4,"https://www.bluecross.org.uk/Gender-Pay-Gap-Report-2017","Rachel Briggs (Director - People & Development)","500 to 999","Blue Cross","False"
"224469","0","PSS (UK)","R","MEMORANDUM  AND ARTICLES INCORPORATED 31/05/1926&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 10/09/1993&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 13/03/1998&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 23/11/1999&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 22/09/2003&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 22/08/2007&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 03/12/2008&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 17/11/2010&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/02/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 24 MAR 2016;","THE UNITED KINGDOM AND OTHER COUNTRIES","","F","","PSS (UK)","P S S","18-24 SEEL STREET","LIVERPOOL","","","0151 7025540                       ","","PSS (UK)","18 Seel Street,
Liverpool,
United Kingdom,
L1 4BE","00214077","87300,
88990",-15,-26,7,17,89,89,38,62,28,72,18,82,17,83,"http://psspeople.com/app/uploads/2018/03/Gender-Pay-Gap-Report.pdf","Lesley Dixon (CEO)","250 to 499","Pss (UK)","False"
"261017","0","MACMILLAN CANCER SUPPORT","R","MEMORANDUM  AND ARTICLES INCORPORATED 30/06/1989&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/06/1990&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 30/06/1993&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 29/06/1994&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/06/1997&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 06/07/2000&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 28/06/2006&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/06/2008&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 29/07/2010&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/07/2011&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 12/07/2012;","NOT DEFINED","","F","","MRS VICTORIA BENSON","MACMILLAN CANCER SUPPORT","89 ALBERT EMBANKMENT","LONDON","","","","","MACMILLAN CANCER SUPPORT","89, Albert Embankment,
London,
SE1 7UQ","02400969","86101,
86900,
96090",10.3,9.9,0,0,3.2,2.3,20.5,79.5,22.6,77.4,23.5,76.5,32.6,67.4,"https://www.macmillan.org.uk/assets/macmillan-cancer-support-gender-pay-gap-report.pdf","Dawn Wilde (HR Director)","1000 to 4999","MACMILLAN CANCER SUPPORT","False"
"288018","0","THE CHILDREN'S TRUST","R","MEMORANDUM  AND ARTICLES INCORPORATED 30/09/1983&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 29/01/1988&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/03/1992&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 28/01/1994&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 29/03/1996&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 24/09/2004&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 17/07/2007&#x0D;
NOW ARTICLES ADOPTED BY SPECIAL RESOLUTION DATED 06/11/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION REGISTERED AT COMPANIES HOUSE ON 07 NOV 2016;","NOT DEFINED","","F","","The Children's Trust","THE CHILDRENS TRUST","TADWORTH COURT","TADWORTH","","","01737 365005                       ","","THE CHILDREN'S TRUST","Tadworth Court,
Tadworth,
Surrey,
United Kingdom,
KT20 5RU","01757875","85200,
85310,
87300,
87900",7.4,-12.2,0,0,0,0.4,15,85,21,79,11,89,13,87,"https://www.thechildrenstrust.org.uk/genderpaygap","Michael Maddick (Director of People)","500 to 999","The Children's Trust","False"
"292880","0","THE HEALTHCARE MANAGEMENT TRUST","R","MEMORANDUM  AND ARTICLES INCORPORATED 23/07/1985&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 19/09/1996&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 21/02/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 15/07/2014&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 13/08/2015;","NOT DEFINED","","F","","Mr Nigel Roissetetr","Health Care Management Trust","14 Queen Annes Gate","London","","","0207 222 1177","","THE HEALTHCARE MANAGEMENT TRUST","14 Queen Annes Gate,
London,
United Kingdom,
SW1H 9AA","01932882","86101,
87100",37,32,281,190,35,65,49,51,52,48,57,43,56,44,"","Antoinette Edwards (Head of HR)","250 to 499","The Healthcare Management Trust","False"
